Processing file: retail.txt, Run: 1
Initial compression size: 2.9074432E7
Final codetable: 
Pattern: [40, 49] count: 29142
Pattern: [39, 40] count: 4243
Pattern: [33, 42] count: 3196
Pattern: [40, 42] count: 2449
Pattern: [33, 49] count: 2215
Pattern: [39, 42] count: 2206
Pattern: [33, 40] count: 1910
Pattern: [39, 171] count: 1736
Pattern: [39, 111] count: 1532
Pattern: [37, 39] count: 1348
Pattern: [42, 49] count: 944
Pattern: [33, 39] count: 690
Pattern: [271, 272] count: 680
Pattern: [16011, 16012] count: 651
Pattern: [39, 49] count: 633
Pattern: [40, 66] count: 588
Pattern: [49, 66] count: 526
Pattern: [40, 226] count: 506
Pattern: [49, 90] count: 441
Pattern: [39, 287] count: 431
Pattern: [42, 66] count: 430
Pattern: [38, 39] count: 380
Pattern: [40, 90] count: 366
Pattern: [16431, 16432] count: 348
Pattern: [226, 2239] count: 346
Pattern: [33, 90] count: 340
Pattern: [40, 238] count: 335
Pattern: [118, 977] count: 312
Pattern: [33, 66] count: 295
Pattern: [406, 10516] count: 294
Pattern: [1147, 3617] count: 293
Pattern: [42, 226] count: 287
Pattern: [39, 372] count: 278
Pattern: [49, 238] count: 266
Pattern: [39, 106] count: 259
Pattern: [42, 90] count: 259
Pattern: [40, 311] count: 235
Pattern: [39, 56] count: 224
Pattern: [42, 311] count: 222
Pattern: [33, 238] count: 217
Pattern: [40, 439] count: 214
Pattern: [49, 414] count: 214
Pattern: [42, 476] count: 202
Pattern: [33, 226] count: 201
Pattern: [40, 102] count: 195
Pattern: [176, 807] count: 195
Pattern: [2285, 2506] count: 194
Pattern: [66, 90] count: 191
Pattern: [250, 1145] count: 189
Pattern: [40, 1328] count: 183
Pattern: [108, 550] count: 181
Pattern: [1820, 3312] count: 180
Pattern: [49, 476] count: 179
Pattern: [39, 57] count: 177
Pattern: [40, 12926] count: 176
Pattern: [40, 61] count: 173
Pattern: [770, 1035] count: 172
Pattern: [37, 42] count: 169
Pattern: [49, 311] count: 168
Pattern: [310, 1380] count: 166
Pattern: [33, 1047] count: 161
Pattern: [40, 80] count: 161
Pattern: [353, 1860] count: 161
Pattern: [165, 166] count: 160
Pattern: [33, 311] count: 154
Pattern: [42, 238] count: 154
Pattern: [40, 272] count: 152
Pattern: [39, 282] count: 151
Pattern: [309, 1270] count: 150
Pattern: [796, 1819] count: 150
Pattern: [176, 1356] count: 149
Pattern: [40, 414] count: 148
Pattern: [49, 102] count: 148
Pattern: [238, 311] count: 147
Pattern: [1610, 14934] count: 145
Pattern: [42, 1328] count: 143
Pattern: [148, 180] count: 143
Pattern: [40, 476] count: 142
Pattern: [40, 741] count: 142
Pattern: [226, 272] count: 141
Pattern: [298, 545] count: 141
Pattern: [42, 439] count: 139
Pattern: [442, 886] count: 139
Pattern: [167, 685] count: 138
Pattern: [49, 124] count: 137
Pattern: [42, 2239] count: 136
Pattern: [49, 439] count: 136
Pattern: [102, 414] count: 136
Pattern: [33, 476] count: 132
Pattern: [3536, 3538] count: 130
Pattern: [42, 16218] count: 129
Pattern: [176, 13042] count: 129
Pattern: [39, 48] count: 128
Pattern: [49, 186] count: 128
Pattern: [39, 791] count: 126
Pattern: [39, 841] count: 126
Pattern: [90, 238] count: 126
Pattern: [33, 80] count: 125
Pattern: [49, 226] count: 124
Pattern: [66, 311] count: 122
Pattern: [180, 302] count: 122
Pattern: [40, 2239] count: 119
Pattern: [49, 50] count: 119
Pattern: [549, 550] count: 118
Pattern: [33, 439] count: 117
Pattern: [1081, 1379] count: 117
Pattern: [40, 534] count: 115
Pattern: [42, 80] count: 115
Pattern: [397, 911] count: 115
Pattern: [5729, 5730] count: 114
Pattern: [33, 1328] count: 112
Pattern: [40, 1394] count: 112
Pattern: [108, 1068] count: 112
Pattern: [911, 957] count: 111
Pattern: [40, 148] count: 110
Pattern: [42, 15833] count: 110
Pattern: [566, 582] count: 109
Pattern: [10491, 10526] count: 109
Pattern: [33, 102] count: 108
Pattern: [42, 171] count: 108
Pattern: [238, 476] count: 108
Pattern: [590, 1063] count: 107
Pattern: [40, 15833] count: 106
Pattern: [49, 148] count: 106
Pattern: [3022, 3056] count: 106
Pattern: [39, 391] count: 105
Pattern: [49, 593] count: 104
Pattern: [272, 2239] count: 104
Pattern: [49, 339] count: 103
Pattern: [90, 311] count: 103
Pattern: [10, 40] count: 100
Pattern: [49, 256] count: 100
Pattern: [39, 371] count: 99
Pattern: [271, 2239] count: 99
Pattern: [799, 2988] count: 99
Pattern: [10445, 10657] count: 99
Pattern: [33, 37] count: 98
Pattern: [42, 148] count: 98
Pattern: [156, 273] count: 98
Pattern: [31, 32] count: 97
Pattern: [40, 256] count: 97
Pattern: [49, 1328] count: 97
Pattern: [648, 770] count: 97
Pattern: [104, 390] count: 96
Pattern: [731, 1282] count: 96
Pattern: [549, 612] count: 95
Pattern: [49, 2959] count: 94
Pattern: [66, 238] count: 94
Pattern: [102, 302] count: 94
Pattern: [719, 1044] count: 94
Pattern: [8979, 16011] count: 94
Pattern: [49, 12926] count: 93
Pattern: [80, 2255] count: 93
Pattern: [39, 1189] count: 92
Pattern: [40, 16218] count: 92
Pattern: [962, 1068] count: 92
Pattern: [40, 186] count: 91
Pattern: [66, 476] count: 91
Pattern: [168, 683] count: 91
Pattern: [177, 818] count: 91
Pattern: [179, 843] count: 91
Pattern: [697, 700] count: 91
Pattern: [39, 1530] count: 90
Pattern: [102, 148] count: 90
Pattern: [33, 256] count: 89
Pattern: [61, 605] count: 89
Pattern: [40, 243] count: 88
Pattern: [54, 3503] count: 87
Pattern: [252, 678] count: 87
Pattern: [450, 592] count: 87
Pattern: [1678, 4699] count: 87
Pattern: [3320, 3322] count: 87
Pattern: [442, 810] count: 86
Pattern: [49, 79] count: 85
Pattern: [49, 534] count: 84
Pattern: [90, 102] count: 84
Pattern: [40, 14099] count: 83
Pattern: [1220, 4487] count: 83
Pattern: [19, 914] count: 82
Pattern: [42, 13042] count: 82
Pattern: [2085, 4361] count: 82
Pattern: [10, 20] count: 81
Pattern: [33, 414] count: 81
Pattern: [108, 549] count: 81
Pattern: [37, 111] count: 80
Pattern: [42, 111] count: 80
Pattern: [238, 250] count: 80
Pattern: [847, 1215] count: 80
Pattern: [49, 1005] count: 79
Pattern: [90, 476] count: 79
Pattern: [810, 886] count: 79
Pattern: [3878, 6083] count: 79
Pattern: [9618, 9670] count: 79
Pattern: [339, 825] count: 78
Pattern: [548, 4171] count: 78
Pattern: [320, 321] count: 77
Pattern: [534, 3013] count: 77
Pattern: [1173, 1940] count: 77
Pattern: [273, 1362] count: 76
Pattern: [1002, 5075] count: 76
Pattern: [42, 1147] count: 75
Pattern: [66, 226] count: 75
Pattern: [137, 611] count: 74
Pattern: [419, 3362] count: 74
Pattern: [1385, 1386] count: 74
Pattern: [33, 272] count: 73
Pattern: [39, 2806] count: 73
Pattern: [39, 3905] count: 73
Pattern: [40, 1579] count: 73
Pattern: [49, 704] count: 73
Pattern: [156, 590] count: 73
Pattern: [2241, 2630] count: 73
Pattern: [2991, 3736] count: 73
Pattern: [40, 162] count: 72
Pattern: [259, 1620] count: 72
Pattern: [61, 66] count: 71
Pattern: [80, 226] count: 71
Pattern: [180, 825] count: 71
Pattern: [10516, 10552] count: 71
Pattern: [40, 157] count: 70
Pattern: [40, 271] count: 70
Pattern: [148, 339] count: 70
Pattern: [3743, 5347] count: 70
Pattern: [33, 1005] count: 69
Pattern: [33, 12926] count: 69
Pattern: [49, 1136] count: 69
Pattern: [66, 102] count: 69
Pattern: [4741, 6174] count: 69
Pattern: [10, 414] count: 68
Pattern: [39, 1832] count: 68
Pattern: [40, 1147] count: 68
Pattern: [42, 102] count: 68
Pattern: [49, 16218] count: 68
Pattern: [259, 339] count: 68
Pattern: [2169, 2553] count: 68
Pattern: [40, 124] count: 67
Pattern: [42, 593] count: 67
Pattern: [43, 46] count: 67
Pattern: [534, 682] count: 67
Pattern: [613, 1014] count: 67
Pattern: [4884, 9844] count: 67
Pattern: [40, 523] count: 66
Pattern: [77, 1240] count: 66
Pattern: [108, 962] count: 66
Pattern: [335, 741] count: 66
Pattern: [686, 3346] count: 66
Pattern: [41, 235] count: 65
Pattern: [49, 61] count: 65
Pattern: [102, 311] count: 65
Pattern: [200, 624] count: 65
Pattern: [1026, 3152] count: 65
Pattern: [1067, 3316] count: 65
Pattern: [1077, 1085] count: 65
Pattern: [33, 79] count: 64
Pattern: [40, 13042] count: 64
Pattern: [226, 271] count: 64
Pattern: [562, 797] count: 64
Pattern: [1210, 1480] count: 64
Pattern: [90, 593] count: 63
Pattern: [111, 171] count: 63
Pattern: [346, 426] count: 63
Pattern: [40, 265] count: 62
Pattern: [912, 2242] count: 62
Pattern: [10534, 10832] count: 62
Pattern: [20, 49] count: 61
Pattern: [33, 104] count: 61
Pattern: [42, 186] count: 61
Pattern: [124, 773] count: 61
Pattern: [407, 2843] count: 61
Pattern: [676, 1394] count: 61
Pattern: [10, 49] count: 60
Pattern: [33, 148] count: 60
Pattern: [39, 1728] count: 60
Pattern: [137, 1068] count: 60
Pattern: [414, 1005] count: 60
Pattern: [1356, 2992] count: 60
Pattern: [2875, 4210] count: 60
Pattern: [4394, 5977] count: 60
Pattern: [4900, 4914] count: 60
Pattern: [40, 590] count: 59
Pattern: [42, 534] count: 59
Pattern: [809, 16218] count: 59
Pattern: [2130, 2481] count: 59
Pattern: [2344, 2943] count: 59
Pattern: [33, 271] count: 58
Pattern: [37, 171] count: 58
Pattern: [39, 505] count: 58
Pattern: [39, 1591] count: 58
Pattern: [66, 202] count: 58
Pattern: [95, 1373] count: 58
Pattern: [176, 843] count: 58
Pattern: [226, 311] count: 58
Pattern: [1705, 2716] count: 58
Pattern: [10424, 15833] count: 58
Pattern: [40, 605] count: 57
Pattern: [102, 256] count: 57
Pattern: [684, 699] count: 57
Pattern: [698, 1105] count: 57
Pattern: [12926, 12944] count: 57
Pattern: [33, 124] count: 56
Pattern: [33, 1394] count: 56
Pattern: [42, 256] count: 56
Pattern: [61, 90] count: 56
Pattern: [205, 1487] count: 56
Pattern: [251, 704] count: 56
Pattern: [260, 302] count: 56
Pattern: [1477, 1539] count: 56
Pattern: [2626, 2635] count: 56
Pattern: [3318, 3505] count: 56
Pattern: [66, 256] count: 55
Pattern: [243, 741] count: 55
Pattern: [688, 1153] count: 55
Pattern: [743, 6486] count: 55
Pattern: [20, 421] count: 54
Pattern: [49, 118] count: 54
Pattern: [434, 435] count: 54
Pattern: [968, 1061] count: 54
Pattern: [16, 1295] count: 53
Pattern: [24, 61] count: 53
Pattern: [198, 624] count: 53
Pattern: [398, 10654] count: 53
Pattern: [979, 980] count: 53
Pattern: [40, 480] count: 52
Pattern: [49, 773] count: 52
Pattern: [80, 2239] count: 52
Pattern: [339, 2400] count: 52
Pattern: [1193, 2553] count: 52
Pattern: [2989, 4227] count: 52
Pattern: [12960, 13175] count: 52
Pattern: [12, 32] count: 51
Pattern: [33, 186] count: 51
Pattern: [49, 825] count: 51
Pattern: [66, 148] count: 51
Pattern: [90, 226] count: 51
Pattern: [102, 186] count: 51
Pattern: [179, 1027] count: 51
Pattern: [414, 13042] count: 51
Pattern: [536, 1601] count: 51
Pattern: [549, 962] count: 51
Pattern: [765, 2841] count: 51
Pattern: [823, 1084] count: 51
Pattern: [1785, 2529] count: 51
Pattern: [33, 741] count: 50
Pattern: [33, 2239] count: 50
Pattern: [40, 250] count: 50
Pattern: [40, 335] count: 50
Pattern: [40, 678] count: 50
Pattern: [61, 302] count: 50
Pattern: [102, 825] count: 50
Pattern: [177, 2597] count: 50
Pattern: [238, 1044] count: 50
Pattern: [798, 1154] count: 50
Pattern: [10, 605] count: 49
Pattern: [33, 12930] count: 49
Pattern: [39, 3006] count: 49
Pattern: [42, 1345] count: 49
Pattern: [49, 162] count: 49
Pattern: [49, 3271] count: 49
Pattern: [66, 414] count: 49
Pattern: [400, 2855] count: 49
Pattern: [982, 1797] count: 49
Pattern: [1620, 2384] count: 49
Pattern: [4884, 8069] count: 49
Pattern: [33, 171] count: 48
Pattern: [33, 15833] count: 48
Pattern: [40, 202] count: 48
Pattern: [40, 302] count: 48
Pattern: [49, 230] count: 48
Pattern: [49, 335] count: 48
Pattern: [66, 1328] count: 48
Pattern: [80, 1147] count: 48
Pattern: [312, 314] count: 48
Pattern: [593, 14099] count: 48
Pattern: [735, 1136] count: 48
Pattern: [40, 46] count: 47
Pattern: [40, 79] count: 47
Pattern: [49, 678] count: 47
Pattern: [176, 2992] count: 47
Pattern: [375, 2562] count: 47
Pattern: [406, 10552] count: 47
Pattern: [731, 732] count: 47
Pattern: [784, 1694] count: 47
Pattern: [807, 2992] count: 47
Pattern: [866, 2516] count: 47
Pattern: [1127, 3190] count: 47
Pattern: [24, 102] count: 46
Pattern: [33, 593] count: 46
Pattern: [37, 66] count: 46
Pattern: [42, 8979] count: 46
Pattern: [49, 259] count: 46
Pattern: [90, 534] count: 46
Pattern: [399, 10654] count: 46
Pattern: [768, 1701] count: 46
Pattern: [1534, 1535] count: 46
Pattern: [1537, 13142] count: 46
Pattern: [1716, 3841] count: 46
Pattern: [12939, 13204] count: 46
Pattern: [6, 536] count: 45
Pattern: [40, 50] count: 45
Pattern: [40, 104] count: 45
